,ticker,setor,ano_tri,data_base,preco,upside,upside_tri,roc,roc_tri,roe,roe_tri,roic,p_vp,p_l,p_ebit,ev_ebitda,enterprise_value,earning_yield,margem_bruta,margem_ebit,margem_liquida,endividamento,dividend_yield,volume
182,MATD3,saúde,20224T,2023-04-03,7.76,-0.16729783,-0.22344081,0.0811405,0.0881816,0.07205769,0.04155943,0.11628528,1.7411,24.1632,8.7733,8.8542,3789388.0,0.0891706,0.35345453,0.19164873,0.06958469,0.48447747,0.01990551,1685.181
183,PDTC3,tecnologia,20224T,2023-04-03,2.27,-0.28318326,2.81420503,0.09370515,0.16856646,0.07189027,0.17099183,0.09914474,1.3125,18.2572,6.5565,9.6842,263032.0,0.1032612,0.31955704,0.07426618,0.02667031,0.62611753,0.0,26.324
184,MDIA3,consumo,20224T,2023-04-03,24.79,-0.49093956,-0.89757338,0.06575232,0.01695768,0.07182278,0.00926853,0.06526743,1.2423,17.2964,14.2907,10.9902,9895960.0,0.05893132,0.28502365,0.05757431,0.04756928,0.23281666,0.00798099,68697.983
185,EVEN3,construção,20224T,2023-04-03,4.44,0.5087728,-0.83852147,0.0330041,-0.00026811,0.07150777,0.01681,0.03581395,0.3364,4.7047,7.3077,5.3905,726009.0,0.17294695,0.22540959,0.05416931,0.08414037,-0.07023147,0.03378527,4165.752
186,AGRO3,agrícola,20232T,2023-04-03,23.8,-1.22718564,0.58913373,0.0741019,-0.01127391,0.06923492,-0.02511925,0.06762191,1.1465,16.5589,11.8498,11.3243,2914708.0,0.06808504,0.23106612,0.15395668,0.1101742,0.27453958,0.22111996,9563.477
187,TIMS3,telecom,20224T,2023-04-03,12.34,0.16691809,0.33496274,0.07936302,0.09754155,0.06578458,0.08476281,0.10405691,1.1762,17.8798,9.4536,3.0142,30103203.0,0.10496943,0.505082,0.14676258,0.07759837,0.00907484,0.04014367,114279.509
188,MEAL3,consumo,20224T,2023-04-03,1.9,2.23999156,5.38792081,0.12523827,0.42566734,0.06426398,0.43384929,0.14684352,0.4796,7.4634,2.0571,2.288,833243.0,0.31642511,0.30968012,0.11766835,0.03243144,0.25723809,0.0,3454.52
189,VIVT3,telecom,20224T,2023-04-03,38.12,-0.12303287,-0.24399405,0.06552316,0.07788575,0.05927765,0.06578705,0.07518332,0.9211,15.5384,9.5566,4.1583,80080264.0,0.08239122,0.42899633,0.13733871,0.08446719,0.24872888,0.09054659,85614.547
190,VSTE3,consumo,20224T,2023-04-03,15.65,-1.09942265,-1.20443854,0.17732978,0.6378992,0.05910317,0.96150141,0.17446817,1.8981,32.1145,8.3024,5.0841,2002400.0,0.10677635,0.61964935,0.20059049,0.05185768,0.24300893,0.0,457.353
191,CSAN3,químico,20224T,2023-04-03,15.08,-0.38724567,-0.51776212,0.0711492,0.1146356,0.05856156,0.14551172,0.07508357,0.585,9.9895,3.5849,6.5653,71396691.0,0.11009484,0.22609024,0.19780895,0.07098797,0.89720152,0.06771599,92939.07
